id,time_,icon,precipitation,temp_air,wind_speed,wind_dir,ari_pressure,humidity,cloud_precent,province,city
140,"2024-03-04 20:00:00",,0.0,14.8,6.1,东风,988.7hPa,91%,54.3%,AZJ,wenzhou
141,"2024-03-04 23:00:00",,2.3,11.8,3.2,东北风,988.1hPa,91.5%,70%,AZJ,wenzhou
142,"2024-03-05 02:00:00",,2.3,12.9,3.2,西北风,986.9hPa,95.2%,70%,AZJ,wenzhou
143,"2024-03-05 05:00:00",,2.3,10.6,3,西北风,985.8hPa,94.9%,70%,AZJ,wenzhou
144,"2024-03-05 08:00:00",,2.3,12.7,3.3,西北风,986.6hPa,92.1%,70%,AZJ,wenzhou
145,"2024-03-05 11:00:00",,0.0,20.8,2.9,东风,985.1hPa,71.3%,23.5%,AZJ,wenzhou
146,"2024-03-05 14:00:00",,0.1,24.8,3.2,东南风,982.3hPa,78.4%,65%,AZJ,wenzhou
147,"2024-03-05 17:00:00",,0.1,19.3,2.7,北风,982.2hPa,84.9%,65%,AZJ,wenzhou
148,"2024-03-05 20:00:00",,0.3,18.4,3.3,西北风,983.9hPa,85.1%,65%,AZJ,wenzhou
149,"2024-03-05 23:00:00",,4.3,17.4,7.2,西北风,983.7hPa,94.1%,70%,AZJ,wenzhou
150,"2024-03-06 02:00:00",,3.8,16.7,7.3,西北风,983.5hPa,94.7%,100%,AZJ,wenzhou
151,"2024-03-06 05:00:00",,1.9,14.1,7.3,西北风,986.5hPa,93.3%,88.7%,AZJ,wenzhou
152,"2024-03-06 08:00:00",,0.0,12.3,7.9,西北风,989.5hPa,87%,77.1%,AZJ,wenzhou
153,"2024-03-06 11:00:00",,0.0,13.4,13.6,西北风,989.8hPa,59.1%,44.3%,AZJ,wenzhou
154,"2024-03-06 14:00:00",,0.0,16.4,13.7,西北风,990.1hPa,65.1%,11.5%,AZJ,wenzhou
155,"2024-03-06 17:00:00",,0.0,12.1,13.8,西北风,992.2hPa,68.7%,40.5%,AZJ,wenzhou
156,"2024-03-06 20:00:00",,0.0,11.1,13.2,西北风,994.3hPa,69.3%,69.4%,AZJ,wenzhou
157,"2024-03-06 23:00:00",,0.0,9.4,7.8,西北风,994.9hPa,69.9%,32.8%,AZJ,wenzhou
158,"2024-03-07 02:00:00",,0.0,8,7.8,西北风,995.4hPa,75.4%,10.1%,AZJ,wenzhou
159,"2024-03-07 05:00:00",,0.0,6.6,7.9,西北风,996.7hPa,78.7%,10.1%,AZJ,wenzhou
160,"2024-03-07 08:00:00",,0.0,5.9,7.7,西北风,997.9hPa,72.2%,10.1%,AZJ,wenzhou
161,"2024-03-07 11:00:00",,0.0,13.1,7.7,东南风,996.7hPa,46.4%,1.4%,AZJ,wenzhou
162,"2024-03-07 14:00:00",,0.0,15.3,7.9,东南风,995.5hPa,53.3%,1.2%,AZJ,wenzhou
163,"2024-03-07 17:00:00",,0.0,15.7,7.3,东南风,997.3hPa,56.8%,10%,AZJ,wenzhou
164,"2024-03-07 20:00:00",,0.0,10.2,6.9,东南风,999hPa,61.5%,10%,AZJ,wenzhou
165,"2024-03-07 23:00:00",,0.0,7.5,3.3,东南风,999.3hPa,69.7%,80%,AZJ,wenzhou
166,"2024-03-08 02:00:00",,0.0,6.3,3.1,北风,999.7hPa,73%,80%,AZJ,wenzhou
167,"2024-03-08 05:00:00",,0.0,5.7,3.1,北风,1000.2hPa,76.5%,80%,AZJ,wenzhou
168,"2024-03-08 08:00:00",,0.0,6.7,3.2,北风,1000.8hPa,75.5%,80%,AZJ,wenzhou
