,当地时间 温州市,T,Po,P,Pa,U,DD,Ff,ff3,WW,W1,W2,Tn,Tx,H,VV,Td,RRR,tR,date_time
36,18.09.2023 11:00,32.0,756.4,759.7,-0.3,63.0,从西南方吹来的风,2.0,4.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,26.0,33.4,2500或更高，或无云。,12.0,24.1,无降水,12.0,2023-09-14 07:50:15
37,18.09.2023 14:00,32.7,755.2,758.5,-1.2,63.0,从东南偏东方向吹来的风,3.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,26.0,33.9,2500或更高，或无云。,14.0,24.7,无降水,12.0,2023-09-14 07:50:15
38,18.09.2023 17:00,30.3,755.5,758.9,0.3,71.0,从东南偏东方向吹来的风,3.0,7.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,26.0,33.9,2500或更高，或无云。,19.0,24.5,无降水,12.0,2023-09-14 07:50:15
39,18.09.2023 20:00,28.7,756.9,760.3,,77.0,从东南偏东方向吹来的风,2.0,7.0, ,,,26.0,33.9,,20.0,24.3,无降水,6.0,2023-09-14 08:00:15
40,18.09.2023 23:00,28.1,757.3,760.6,0.4,81.0,从南方吹来的风,1.0,7.0,云量发展情况没有进行观测或无法观测。 ,,,26.0,33.9,2500或更高，或无云。,20.0,24.5,无降水,12.0,2023-09-14 08:00:15
41,19.09.2023 02:00,27.1,756.5,759.8,-0.8,83.0,从西方吹来的风,1.0,7.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,26.0,33.9,2500或更高，或无云。,19.0,24.0,无降水,12.0,2023-09-14 08:00:15
42,19.09.2023 05:00,25.8,755.9,759.3,-0.6,92.0,从西方吹来的风,2.0,7.0,霾 ,,,25.8,33.9,2500或更高，或无云。,3.0,24.4,无降水,12.0,2023-09-14 08:00:15
43,19.09.2023 08:00,28.0,757.2,760.6,1.3,81.0,从西方吹来的风,1.0,5.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,25.5,,2500或更高，或无云。,7.0,24.4,无降水,12.0,2023-09-14 08:00:15
44,19.09.2023 11:00,32.4,756.9,760.2,-0.3,60.0,从东南方吹来的风,2.0,4.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,25.5,33.9,2500或更高，或无云。,19.0,23.6,无降水,12.0,2023-09-14 08:10:15
45,19.09.2023 14:00,32.3,755.7,759.0,-1.2,61.0,从东南偏南方向吹来的风,2.0,7.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,25.5,32.9,2500或更高，或无云。,19.0,23.8,无降水,12.0,2023-09-14 08:10:15
46,19.09.2023 17:00,30.0,755.5,758.9,-0.2,74.0,从东南方吹来的风,3.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,25.5,32.9,2500或更高，或无云。,20.0,24.9,无降水,12.0,2023-09-14 08:10:15
47,19.09.2023 20:00,28.5,756.4,759.7,0.9,80.0,从东南方吹来的风,1.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,25.5,32.9,2500或更高，或无云。,19.0,24.7,无降水,12.0,2023-09-14 08:10:15
48,19.09.2023 23:00,28.2,756.3,759.6,,81.0,从西南偏南方向吹来的风,2.0,7.0, ,,,25.5,32.9,,20.0,24.6,无降水,6.0,2023-09-14 08:10:15
49,20.09.2023 02:00,27.0,755.5,758.8,,85.0,从西方吹来的风,1.0,7.0, ,,,25.5,32.9,,20.0,24.3,无降水,6.0,2023-09-14 08:20:15
50,20.09.2023 05:00,26.2,755.5,758.9,,91.0,从西方吹来的风,2.0,6.0, ,,,25.5,32.9,,6.0,24.6,无降水,6.0,2023-09-14 08:20:15
51,20.09.2023 08:00,28.2,755.9,759.3,,80.0,从西方吹来的风,1.0,4.0, ,,,25.8,,,17.0,24.4,无降水,6.0,2023-09-14 08:20:15
52,20.09.2023 11:00,31.5,755.1,758.4,,61.0,从西南偏南方向吹来的风,1.0,4.0, ,,,25.8,32.9,,19.0,23.1,无降水,6.0,2023-09-14 08:20:15
53,20.09.2023 14:00,32.0,753.5,756.8,-1.6,64.0,从东南方吹来的风,3.0,6.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,25.8,33.4,2500或更高，或无云。,18.0,24.3,无降水,12.0,2023-09-14 08:20:15
54,20.09.2023 17:00,29.7,753.7,757.1,,78.0,从东方吹来的风,3.0,7.0, ,,,25.8,33.4,,19.0,25.4,无降水,6.0,2023-09-14 08:30:15
55,20.09.2023 20:00,28.5,754.9,758.3,,83.0,从东北偏东方向吹来的风,2.0,7.0, ,,,25.8,33.4,,16.0,25.3,无降水,6.0,2023-09-14 08:30:15
56,20.09.2023 23:00,28.4,755.3,758.6,,84.0,从东南偏南方向吹来的风,1.0,7.0, ,,,25.8,33.4,,13.0,25.4,无降水,6.0,2023-09-14 08:30:15
57,21.09.2023 02:00,27.1,754.9,758.2,,89.0,从北方吹来的风,0.0,7.0, ,,,25.8,33.4,,8.0,25.1,无降水,6.0,2023-09-14 08:30:15
58,21.09.2023 05:00,26.4,754.9,758.3,,93.0,从西方吹来的风,1.0,6.0,霾 ,,,25.8,33.4,,6.0,25.2,无降水,6.0,2023-09-14 08:30:15
59,21.09.2023 08:00,29.4,756.1,759.5,,78.0,从东北偏东方向吹来的风,1.0,,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,26.3,33.4,,4.7,25.2,无降水,6.0,2023-09-14 08:40:15
60,21.09.2023 11:00,32.6,756.0,759.3,,63.0,从东方吹来的风,2.0,4.0, ,,,26.3,33.4,,11.0,24.6,无降水,6.0,2023-09-14 08:40:15
61,21.09.2023 14:00,32.6,754.6,757.9,,63.0,从东南偏东方向吹来的风,4.0,7.0, ,,,26.3,33.7,,19.0,24.6,无降水,6.0,2023-09-14 08:40:15
62,21.09.2023 17:00,30.3,755.1,758.5,,74.0,从东方吹来的风,4.0,9.0, ,,,26.3,33.7,,20.0,25.1,无降水,6.0,2023-09-14 08:40:15
63,21.09.2023 20:00,28.5,756.1,759.4,,83.0,从东北偏东方向吹来的风,4.0,9.0, ,,,26.3,33.7,,13.0,25.3,无降水,6.0,2023-09-14 08:40:15
64,21.09.2023 23:00,28.1,756.4,759.7,,82.0,从东北偏东方向吹来的风,4.0,9.0, ,,,26.3,33.7,,15.0,24.7,无降水,6.0,2023-09-14 08:50:15
65,22.09.2023 02:00,26.8,755.8,759.1,,84.0,从东北偏东方向吹来的风,5.0,9.0, ,,,26.3,33.7,,19.0,23.9,无降水,6.0,2023-09-14 08:50:15
66,22.09.2023 05:00,26.5,756.1,759.5,,85.0,从西北偏北方向吹来的风,1.0,9.0, ,,,26.3,33.7,,16.0,23.8,无降水,6.0,2023-09-14 08:50:15
67,22.09.2023 08:00,25.4,757.0,760.4,,95.0,从西南方吹来的风,0.0,9.0,小雨（不冻） ,小雨,在整个相应周期内云遮住了一半或以下的天空,25.0,33.7,,8.0,24.5,0.7,6.0,2023-09-14 08:50:15
68,22.09.2023 11:00,25.6,757.3,760.7,,96.0,从西方吹来的风,1.0,8.0,毛毛雨（不冻）或者小雪粒 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,25.0,,,11.0,24.9,1,6.0,2023-09-14 08:50:15
69,22.09.2023 14:00,28.8,755.7,759.1,,79.0,从西南方吹来的风,1.0,8.0, ,,,25.0,32.7,,13.0,24.8,0.5,6.0,2023-09-14 09:00:16
70,22.09.2023 17:00,27.9,756.1,759.4,,79.0,从东方吹来的风,5.0,8.0, ,,,25.0,30.3,,15.0,23.9,无降水,6.0,2023-09-14 09:00:16
71,22.09.2023 20:00,27.0,757.4,760.8,,80.0,从东北偏东方向吹来的风,4.0,9.0, ,,,25.0,29.2,,13.0,23.3,无降水,6.0,2023-09-14 09:00:16
72,22.09.2023 23:00,26.6,758.0,761.4,,80.0,从东北方吹来的风,3.0,9.0, ,,,25.0,29.2,,19.0,22.9,无降水,6.0,2023-09-14 09:00:16
73,23.09.2023 02:00,25.6,757.0,760.4,,85.0,从北方吹来的风,2.0,9.0, ,,,25.0,29.2,,20.0,22.9,无降水,6.0,2023-09-14 09:00:16
74,23.09.2023 05:00,25.0,757.0,760.4,,91.0,从西方吹来的风,1.0,9.0,小雨（不冻） ,,,25.0,29.2,,14.0,23.4,0.1,6.0,2023-09-14 09:10:15
75,23.09.2023 08:00,25.1,757.9,761.3,,93.0,从西北方吹来的风,1.0,8.0,间歇性毛毛雨，不冻，在观测时是微弱的 ,雨,在整个相应周期内云遮住了一半或以下的天空,24.9,29.2,,4.9,23.9,0.2,6.0,2023-09-14 09:10:15
76,23.09.2023 11:00,28.0,757.6,761.0,,79.0,从东北偏北方向吹来的风,2.0,5.0, ,,,24.9,29.2,,18.0,24.0,0.3,6.0,2023-09-14 09:10:15
77,23.09.2023 14:00,27.7,756.4,759.8,,79.0,从东北偏东方向吹来的风,4.0,7.0, ,,,24.9,29.2,,8.0,23.7,0.2,6.0,2023-09-14 09:10:15
78,23.09.2023 17:00,24.7,756.7,760.0,,95.0,从东北偏东方向吹来的风,3.0,8.0,间歇性毛毛雨，不冻，在观测时是微弱的 ,雨,在整个相应周期内云遮住了一半或以下的天空,24.7,28.4,,2.4,23.8,2,6.0,2023-09-14 09:10:15
79,23.09.2023 20:00,24.3,757.7,761.1,,95.0,从西北偏北方向吹来的风,1.0,8.0,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,24.3,28.4,,5.0,23.4,2,6.0,2023-09-14 09:20:15
80,23.09.2023 23:00,24.5,757.9,761.3,0.2,92.0,从西北偏北方向吹来的风,0.0,8.0,霾 ,,,24.3,28.4,2500或更高，或无云。,7.0,23.1,2,12.0,2023-09-14 09:20:15
81,24.09.2023 02:00,24.1,756.9,760.3,,96.0,从西方吹来的风,1.0,8.0,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,24.1,28.4,,2.4,23.4,无降水,6.0,2023-09-14 09:20:15
82,24.09.2023 05:00,24.2,756.6,760.0,,94.0,从西方吹来的风,1.0,6.0,霾 ,,,24.0,,,2.0,23.2,无降水,6.0,2023-09-14 09:20:15
83,24.09.2023 08:00,27.8,757.4,760.8,,80.0,从东方吹来的风,1.0,4.0, ,,,24.0,28.4,,12.0,24.0,无降水,6.0,2023-09-14 09:20:15
84,24.09.2023 11:00,31.4,756.9,760.3,,65.0,从南方吹来的风,1.0,3.0, ,,,24.0,31.4,,13.0,24.0,无降水,6.0,2023-09-14 09:30:16
85,24.09.2023 14:00,32.1,755.2,758.6,,61.0,从东南方吹来的风,2.0,5.0, ,,,24.0,32.2,,19.0,23.6,无降水,6.0,2023-09-14 09:30:16
86,24.09.2023 17:00,29.5,755.4,758.8,,74.0,从东方吹来的风,2.0,6.0, ,,,24.0,32.3,,19.0,24.4,无降水,6.0,2023-09-14 09:30:16
87,24.09.2023 20:00,27.7,756.4,759.8,,86.0,从东方吹来的风,2.0,6.0, ,,,24.0,32.3,,19.0,25.1,无降水,6.0,2023-09-14 09:30:16
88,24.09.2023 23:00,27.4,756.7,760.0,,86.0,从东方吹来的风,2.0,6.0, ,,,24.0,32.3,,19.0,24.8,无降水,6.0,2023-09-14 09:30:16
89,25.09.2023 02:00,27.0,756.1,759.4,,84.0,从西北偏北方向吹来的风,1.0,6.0, ,,,24.0,32.3,,20.0,24.1,无降水,6.0,2023-09-14 09:40:15
90,25.09.2023 05:00,26.0,755.8,759.2,-0.3,92.0,从西北偏西方向吹来的风,1.0,6.0,霾 ,,,24.1,32.3,2500或更高，或无云。,4.1,24.6,无降水,12.0,2023-09-14 09:40:15
91,25.09.2023 08:00,28.0,756.9,760.3,,83.0,从西方吹来的风,1.0,4.0,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,25.7,,,7.0,24.8,无降水,6.0,2023-09-14 09:40:15
92,25.09.2023 11:00,32.1,756.4,759.7,,64.0,从东方吹来的风,3.0,, ,,,25.7,32.3,,18.0,24.4,无降水,6.0,2023-09-14 09:40:15
93,25.09.2023 14:00,31.4,755.1,758.4,,69.0,从东南偏东方向吹来的风,4.0,7.0, ,,,25.7,32.7,,19.0,25.0,无降水,6.0,2023-09-14 09:40:15
94,25.09.2023 17:00,29.6,755.6,759.0,,76.0,从东方吹来的风,3.0,8.0, ,,,25.7,32.7,,20.0,24.9,无降水,6.0,2023-09-14 09:50:15
95,25.09.2023 20:00,28.3,756.7,760.1,,81.0,从东方吹来的风,4.0,8.0, ,,,25.7,32.7,,19.0,24.7,无降水,6.0,2023-09-14 09:50:15
96,25.09.2023 23:00,27.5,757.0,760.3,0.3,84.0,从东北偏东方向吹来的风,2.0,8.0,云量发展情况没有进行观测或无法观测。 ,,,25.7,32.7,2500或更高，或无云。,18.0,24.6,无降水,12.0,2023-09-14 09:50:15
97,26.09.2023 02:00,27.0,756.5,759.9,,82.0,从东北偏北方向吹来的风,2.0,8.0, ,,,25.7,32.7,,20.0,23.7,无降水,6.0,2023-09-14 09:50:15
98,26.09.2023 05:00,26.8,756.4,759.8,,83.0,从西北偏北方向吹来的风,1.0,7.0, ,,,25.7,32.7,,20.0,23.7,无降水,6.0,2023-09-14 09:50:15
99,26.09.2023 08:00,28.5,757.6,760.9,,73.0,从西方吹来的风,0.0,7.0, ,,,26.8,,,15.0,23.2,无降水,6.0,2023-09-14 10:00:15
100,26.09.2023 11:00,31.9,757.0,760.4,,61.0,无风,0.0,, ,,,26.8,32.7,,18.0,23.4,无降水,6.0,2023-09-14 10:00:15
101,26.09.2023 17:00,29.2,756.0,759.4,,77.0,从东方吹来的风,3.0,8.0, ,,,26.8,32.5,,16.0,24.7,无降水,6.0,2023-09-14 10:00:15
102,26.09.2023 20:00,28.2,757.1,760.5,,82.0,从东北偏东方向吹来的风,4.0,8.0, ,,,26.8,32.5,,17.0,24.8,无降水,6.0,2023-09-14 10:00:15
103,26.09.2023 23:00,27.6,757.5,760.9,0.4,77.0,从东北方吹来的风,2.0,8.0,云量发展情况没有进行观测或无法观测。 ,,,26.8,32.5,2500或更高，或无云。,19.0,23.2,无降水,12.0,2023-09-14 10:00:15
104,27.09.2023 02:00,26.3,756.8,760.2,-0.7,82.0,从北方吹来的风,1.0,8.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,26.3,32.5,2500或更高，或无云。,18.0,23.0,无降水,12.0,2023-09-14 10:10:15
105,27.09.2023 05:00,25.5,756.7,760.1,-0.1,83.0,从北方吹来的风,0.0,7.0,云量发展情况没有进行观测或无法观测。 ,,,25.5,32.5,2500或更高，或无云。,16.0,22.4,无降水,12.0,2023-09-14 10:10:15
106,27.09.2023 08:00,28.4,757.3,760.6,0.6,72.0,从北方吹来的风,2.0,7.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,25.2,32.5,2500或更高，或无云。,16.0,22.9,无降水,12.0,2023-09-14 10:10:15
107,27.09.2023 11:00,30.5,756.7,760.1,-0.6,63.0,从西北方吹来的风,2.0,5.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,25.2,32.5,2500或更高，或无云。,16.0,22.7,无降水,12.0,2023-09-14 10:10:15
108,27.09.2023 14:00,30.6,755.4,758.8,-1.3,66.0,从东南偏东方向吹来的风,3.0,7.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,25.2,31.8,2500或更高，或无云。,19.0,23.5,无降水,12.0,2023-09-14 10:10:15
109,27.09.2023 17:00,29.5,755.5,758.8,0.1,73.0,从东方吹来的风,3.0,7.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,25.2,31.8,2500或更高，或无云。,16.0,24.1,无降水,12.0,2023-09-14 10:20:15
110,27.09.2023 20:00,28.1,756.9,760.3,1.4,80.0,从东方吹来的风,4.0,7.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,25.2,31.8,2500或更高，或无云。,18.0,24.3,无降水,12.0,2023-09-14 10:20:15
